Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
0,CQ0VMA,145.650000,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,VHF FM Serra do Marão
1,CQ0VPD,145.675000,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,VHF FM Serra da Padrela - Valpaços
2,CQ0VBRG,145.700000,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,VHF FM Serra de Santa Marta - Braga
3,CQ0VSA,145.625000,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,VHF FM Serra de Arga (Norte)
4,CQ0URTD,438.700000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM Amarante
5,CQ0UBRG,438.800000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,UHF FM Serra de Santa Marta - Braga
6,CQ0UGMR,439.100000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,UHF FM Serra da Penha - Guimarães
7,CQ0UGM,439.125000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM Monte Crasto - Gondomar
8,CQ0UAST,439.200000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM Monte N.Sra Assunção - Santo Tirso
9,CQ0UAV,439.325000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,UHF FM Monte Cotão - Arcos de Valdevez
10,CQ0UPRT,439.425000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM Monte da Virgem - V.N.Gaia
11,AIR_LPPR_TWR,118.000000,off,0.000000,,88.5,88.5,023,NN,AM,8.33,S,Escuta - Torre Porto
12,VHF_CALL,145.500000,off,0.000000,,88.5,88.5,023,NN,FM,12.50,,Simplex chamada nacional
13,UHF_CALL,433.500000,off,0.000000,,88.5,88.5,023,NN,FM,12.50,,Simplex chamada nacional
14,ISS_VOICE,145.800000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,ISS downlink
15,AIR_121500,121.500000,off,0.000000,,88.5,88.5,023,NN,AM,8.33,S,Escuta - Emergência aeronáutica
16,AIR_123450,123.450000,off,0.000000,,88.5,88.5,023,NN,AM,8.33,S,Escuta - Air to Air
17,MAR_CH16,156.800000,off,0.000000,,88.5,88.5,023,NN,FM,25.00,S,Escuta - Marítimo socorro
18,AIS1,161.975000,off,0.000000,,88.5,88.5,023,NN,FM,25.00,S,Escuta - AIS 1
19,AIS2,162.025000,off,0.000000,,88.5,88.5,023,NN,FM,25.00,S,Escuta - AIS 2
20,PMR01,446.006250,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 1
21,PMR02,446.018750,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 2
22,PMR03,446.031250,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 3
23,PMR04,446.043750,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 4
24,PMR05,446.056250,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 5
25,PMR06,446.068750,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 6
26,PMR07,446.081250,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 7
27,PMR08,446.093750,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 8
28,PMR09,446.106250,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 9
